Datas,2040005
1957-07-19,0.0
1957-07-20,2.0
1957-07-21,0.0
1957-07-22,0.0
1957-07-23,0.0
1957-07-24,0.0
1957-07-25,0.0
1957-07-26,0.0
1957-07-27,0.0
1957-07-28,0.0
1957-07-29,0.0
1957-07-30,0.0
1957-07-31,0.0
1957-08-01,0.0
1957-08-02,0.0
1957-08-03,3.0
1957-08-04,0.0
1957-08-05,0.0
1957-08-06,0.0
1957-08-07,0.0
1957-08-08,0.0
1957-08-09,0.0
1957-08-10,0.0
1957-08-11,0.0
1957-08-12,0.0
1957-08-13,0.0
1957-08-14,0.0
1957-08-15,0.3
1957-08-16,4.0
1957-08-17,0.0
1957-08-18,0.0
1957-08-19,0.0
1957-08-20,0.0
1957-08-21,0.0
1957-08-22,0.0
1957-08-23,0.3
1957-08-24,0.0
1957-08-25,0.0
1957-08-26,0.0
1957-08-27,0.0
1957-08-28,0.0
1957-08-29,0.0
1957-08-30,0.0
1957-08-31,0.0
1957-09-01,0.3
1957-09-02,6.0
1957-09-03,0.0
1957-09-04,0.0
1957-09-05,0.0
1957-09-06,0.0
1957-09-07,0.0
1957-09-08,0.0
1957-09-09,0.0
1957-09-10,0.0
1957-09-11,0.2
1957-09-12,0.0
1957-09-13,0.0
1957-09-14,8.0
1957-09-15,15.2
1957-09-16,2.0
1957-09-17,0.0
1957-09-18,0.0
1957-09-19,0.0
1957-09-20,0.0
1957-09-21,0.0
1957-09-22,0.0
1957-09-23,0.0
1957-09-24,2.0
1957-09-25,4.2
1957-09-26,0.0
1957-09-27,0.0
1957-09-28,0.0
1957-09-29,19.2
1957-09-30,6.3
1957-10-01,13.2
1957-10-02,41.0
1957-10-03,2.0
1957-10-04,4.0
1957-10-05,0.0
1957-10-06,0.0
1957-10-07,0.0
1957-10-08,0.0
1957-10-09,0.0
1957-10-10,0.0
1957-10-11,0.0
1957-10-12,0.0
1957-10-13,0.0
1957-10-14,0.0
1957-10-15,0.0
1957-10-16,0.0
1957-10-17,0.0
1957-10-18,0.0
1957-10-19,0.0
1957-10-20,0.0
1957-10-21,0.0
1957-10-22,0.0
1957-10-23,0.0
1957-10-24,0.0
1957-10-25,0.0
1957-10-26,0.0
1957-10-27,0.0
1957-10-28,0.0
1957-10-29,0.0
1957-10-30,0.0
1957-10-31,8.4
1957-11-01,6.2
1957-11-02,0.0
1957-11-03,0.0
1957-11-04,2.0
1957-11-05,11.2
1957-11-06,25.0
1957-11-07,0.0
1957-11-08,3.0
1957-11-09,8.0
1957-11-10,9.0
1957-11-11,2.0
1957-11-12,0.2
1957-11-13,0.0
1957-11-14,0.0
1957-11-15,0.0
1957-11-16,8.0
1957-11-17,4.0
1957-11-18,6.2
1957-11-19,35.0
1957-11-20,5.2
1957-11-21,7.3
1957-11-22,9.2
1957-11-23,15.2
1957-11-24,21.0
1957-11-25,2.0
1957-11-26,23.0
1957-11-27,3.2
1957-11-28,0.0
1957-11-29,0.0
1957-11-30,19.2
1957-12-01,2.0
1957-12-02,2.3
1957-12-03,18.0
1957-12-04,4.2
1957-12-05,129.0
1957-12-06,8.2
1957-12-07,2.0
1957-12-08,8.2
1957-12-09,15.2
1957-12-10,17.0
1957-12-11,18.2
1957-12-12,6.2
1957-12-13,0.0
1957-12-14,3.0
1957-12-15,18.2
1957-12-16,12.0
1957-12-17,4.0
1957-12-18,58.2
1957-12-19,20.0
1957-12-20,12.0
1957-12-21,2.0
1957-12-22,0.0
1957-12-23,3.0
1957-12-24,0.0
1957-12-25,0.0
1957-12-26,0.0
1957-12-27,0.0
1957-12-28,0.0
1957-12-29,0.0
1957-12-30,0.0
1957-12-31,0.0
1958-01-01,0.0
1958-01-02,2.0
1958-01-03,0.0
1958-01-04,0.0
1958-01-05,0.0
1958-01-06,0.0
1958-01-07,0.0
1958-01-08,0.0
1958-01-09,0.0
1958-01-10,0.0
1958-01-11,0.0
1958-01-12,0.0
1958-01-13,0.0
1958-01-14,0.0
1958-01-15,0.0
1958-01-16,0.0
1958-01-17,0.0
1958-01-18,0.0
1958-01-19,2.0
1958-01-20,0.0
1958-01-21,0.0
1958-01-22,0.0
1958-01-23,0.0
1958-01-24,1.0
1958-01-25,0.0
1958-01-26,0.0
1958-01-27,0.0
1958-01-28,0.0
1958-01-29,13.2
1958-01-30,4.0
1958-01-31,3.0
1958-02-01,0.0
1958-02-02,0.0
1958-02-03,0.0
1958-02-04,0.0
1958-02-05,0.0
1958-02-06,6.2
1958-02-07,4.0
1958-02-08,5.3
1958-02-09,12.0
1958-02-10,0.0
1958-02-11,0.0
1958-02-12,0.0
1958-02-13,0.0
1958-02-14,0.0
1958-02-15,0.0
1958-02-16,0.0
1958-02-17,0.0
1958-02-18,0.0
1958-02-19,0.0
1958-02-20,0.0
1958-02-21,0.0
1958-02-22,0.0
1958-02-23,0.0
1958-02-24,20.0
1958-02-25,13.2
1958-02-26,0.0
1958-02-27,0.0
1958-02-28,0.0
1958-03-01,0.0
1958-03-02,0.0
1958-03-03,0.0
1958-03-04,0.0
1958-03-05,0.0
1958-03-06,0.0
1958-03-07,0.0
1958-03-08,0.0
1958-03-09,13.2
1958-03-10,0.0
1958-03-11,0.0
1958-03-12,0.0
1958-03-13,0.0
1958-03-14,0.0
1958-03-15,0.0
1958-03-16,0.0
1958-03-17,0.0
1958-03-18,0.0
1958-03-19,0.0
1958-03-20,4.2
1958-03-21,6.0
1958-03-22,3.2
1958-03-23,4.1
1958-03-24,2.0
1958-03-25,21.0
1958-03-26,20.0
1958-03-27,6.2
1958-03-28,3.1
1958-03-29,4.2
1958-03-30,0.0
1958-03-31,0.0
1958-04-01,0.0
1958-04-02,18.0
1958-04-03,30.0
1958-04-04,2.2
1958-04-05,0.0
1958-04-06,0.0
1958-04-07,0.0
1958-04-08,0.0
1958-04-09,0.0
1958-04-10,18.0
1958-04-11,0.0
1958-04-12,0.0
1958-04-13,0.0
1958-04-14,0.0
1958-04-15,50.2
1958-04-16,0.0
1958-04-17,0.3
1958-04-18,2.0
1958-04-19,38.0
1958-04-20,21.2
1958-04-21,0.0
1958-04-22,0.0
1958-04-23,0.0
1958-04-24,3.0
1958-04-25,6.0
1958-04-26,3.2
1958-04-27,0.0
1958-04-28,0.0
1958-04-29,4.2
1958-04-30,2.0
1958-05-01,0.0
1958-05-02,0.0
1958-05-03,0.0
1958-05-04,3.0
1958-05-05,2.3
1958-05-06,2.0
1958-05-07,27.0
1958-05-08,0.0
1958-05-09,16.3
1958-05-10,0.0
1958-05-11,0.0
1958-05-12,0.0
1958-05-13,0.0
1958-05-14,20.0
1958-05-15,0.0
1958-05-16,0.0
1958-05-17,0.0
1958-05-18,0.0
1958-05-19,0.0
1958-05-20,0.0
1958-05-21,0.0
1958-05-22,0.0
1958-05-23,22.0
1958-05-24,8.0
1958-05-25,0.0
1958-05-26,6.2
1958-05-27,0.0
1958-05-28,0.0
1958-05-29,0.0
1958-05-30,0.0
1958-05-31,0.0
1958-06-01,0.0
1958-06-02,8.0
1958-06-03,0.2
1958-06-04,3.0
1958-06-05,0.0
1958-06-06,0.0
1958-06-07,0.0
1958-06-08,0.2
1958-06-09,0.0
1958-06-10,0.0
1958-06-11,0.0
1958-06-12,0.0
1958-06-13,0.0
1958-06-14,0.0
1958-06-15,0.0
1958-06-16,0.0
1958-06-17,0.0
1958-06-18,0.0
1958-06-19,18.2
1958-06-20,6.3
1958-06-21,8.2
1958-06-22,4.1
1958-06-23,11.0
1958-06-24,3.0
1958-06-25,4.2
1958-06-26,2.0
1958-06-27,0.0
1958-06-28,0.0
1958-06-29,0.0
1958-06-30,0.0
1958-07-01,3.0
1958-07-02,5.2
1958-07-03,0.2
1958-07-04,0.4
1958-07-05,2.2
1958-07-06,0.0
1958-07-07,0.0
1958-07-08,0.0
1958-07-09,0.0
1958-07-10,0.0
1958-07-11,12.0
1958-07-12,4.2
1958-07-13,0.0
1958-07-14,0.0
1958-07-15,0.0
1958-07-16,0.0
1958-07-17,2.0
1958-07-18,6.2
1958-07-19,13.2
1958-07-20,33.2
1958-07-21,6.2
1958-07-22,10.2
1958-07-23,8.2
1958-07-24,3.2
1958-07-25,0.2
1958-07-26,0.0
1958-07-27,0.0
1958-07-28,0.0
1958-07-29,0.0
1958-07-30,0.0
1958-07-31,0.0
1958-08-01,0.0
1958-08-02,0.0
1958-08-03,0.0
1958-08-04,0.0
1958-08-05,4.0
1958-08-06,0.0
1958-08-07,0.0
1958-08-08,0.0
1958-08-09,0.0
1958-08-10,0.0
1958-08-11,0.0
1958-08-12,0.0
1958-08-13,0.0
1958-08-14,0.0
1958-08-15,0.0
1958-08-16,0.0
1958-08-17,0.0
1958-08-18,0.0
1958-08-19,0.0
1958-08-20,6.2
1958-08-21,5.3
1958-08-22,0.0
1958-08-23,0.0
1958-08-24,0.0
1958-08-25,0.0
1958-08-26,0.0
1958-08-27,0.0
1958-08-28,0.0
1958-08-29,0.0
1958-08-30,0.0
1958-08-31,4.2
1958-09-01,2.0
1958-09-02,0.2
1958-09-03,0.0
1958-09-04,0.0
1958-09-05,0.0
1958-09-06,0.0
1958-09-07,0.0
1958-09-08,0.0
1958-09-09,0.0
1958-09-10,13.0
1958-09-11,4.2
1958-09-12,0.0
1958-09-13,8.2
1958-09-14,6.3
1958-09-15,4.4
1958-09-16,2.0
1958-09-17,3.2
1958-09-18,0.0
1958-09-19,0.0
1958-09-20,3.0
1958-09-21,2.2
1958-09-22,4.3
1958-09-23,2.3
1958-09-24,0.0
1958-09-25,0.0
1958-09-26,0.0
1958-09-27,0.0
1958-09-28,3.0
1958-09-29,0.0
1958-09-30,0.0
1958-10-01,0.0
1958-10-02,0.0
1958-10-03,0.0
1958-10-04,0.0
1958-10-05,2.2
1958-10-06,0.0
1958-10-07,0.0
1958-10-08,0.0
1958-10-09,0.0
1958-10-10,0.0
1958-10-11,26.0
1958-10-12,0.0
1958-10-13,13.0
1958-10-14,3.2
1958-10-15,0.0
1958-10-16,4.2
1958-10-17,18.0
1958-10-18,0.0
1958-10-19,22.0
1958-10-20,0.1
1958-10-21,0.0
1958-10-22,0.0
1958-10-23,0.0
1958-10-24,0.0
1958-10-25,0.0
1958-10-26,0.0
1958-10-27,0.0
1958-10-28,22.2
1958-10-29,3.2
1958-10-30,31.0
1958-10-31,22.0
1958-11-01,22.2
1958-11-02,30.2
1958-11-03,4.2
1958-11-04,0.2
1958-11-05,9.2
1958-11-06,0.0
1958-11-07,0.0
1958-11-08,0.0
1958-11-09,0.0
1958-11-10,0.0
1958-11-11,0.0
1958-11-12,0.0
1958-11-13,0.0
1958-11-14,0.0
1958-11-15,0.0
1958-11-16,0.0
1958-11-17,0.0
1958-11-18,0.0
1958-11-19,0.0
1958-11-20,0.0
1958-11-21,0.0
1958-11-22,18.0
1958-11-23,0.0
1958-11-24,0.0
1958-11-25,3.0
1958-11-26,22.0
1958-11-27,36.3
1958-11-28,4.2
1958-11-29,12.0
1958-11-30,0.0
1958-12-01,0.0
1958-12-02,0.0
1958-12-03,0.0
1958-12-04,0.0
1958-12-05,0.0
1958-12-06,0.0
1958-12-07,0.0
1958-12-08,0.0
1958-12-09,0.0
1958-12-10,6.2
1958-12-11,0.2
1958-12-12,0.0
1958-12-13,3.0
1958-12-14,0.0
1958-12-15,0.0
1958-12-16,0.0
1958-12-17,0.0
1958-12-18,0.0
1958-12-19,0.0
1958-12-20,0.0
1958-12-21,0.0
1958-12-22,26.0
1958-12-23,65.2
1958-12-24,20.0
1958-12-25,11.3
1958-12-26,8.2
1958-12-27,6.3
1958-12-28,10.4
1958-12-29,18.2
1958-12-30,6.0
1958-12-31,28.2
1959-01-01,2.0
1959-01-02,3.2
1959-01-03,8.2
1959-01-04,9.3
1959-01-05,0.2
1959-01-06,16.2
1959-01-07,0.2
1959-01-08,0.0
1959-01-09,0.2
1959-01-10,11.0
1959-01-11,0.0
1959-01-12,0.0
1959-01-13,0.0
1959-01-14,12.2
1959-01-15,0.0
1959-01-16,0.0
1959-01-17,0.0
1959-01-18,0.0
1959-01-19,0.0
1959-01-20,0.0
1959-01-21,10.0
1959-01-22,0.0
1959-01-23,0.0
1959-01-24,0.0
1959-01-25,0.0
1959-01-26,0.0
1959-01-27,0.0
1959-01-28,0.0
1959-01-29,0.0
1959-01-30,0.0
1959-01-31,0.0
1959-02-01,0.0
1959-02-02,0.0
1959-02-03,0.0
1959-02-04,0.0
1959-02-05,0.0
1959-02-06,0.0
1959-02-07,0.0
1959-02-08,0.0
1959-02-09,0.0
1959-02-10,0.0
1959-02-11,0.0
1959-02-12,0.0
1959-02-13,0.0
1959-02-14,0.0
1959-02-15,0.0
1959-02-16,0.0
1959-02-17,0.0
1959-02-18,0.0
1959-02-19,0.0
1959-02-20,0.0
1959-02-21,0.0
1959-02-22,0.0
1959-02-23,0.0
1959-02-24,0.0
1959-02-25,0.0
1959-02-26,0.0
1959-02-27,0.0
1959-02-28,0.0
1959-03-01,80.0
1959-03-02,12.2
1959-03-03,2.0
1959-03-04,6.0
1959-03-05,10.0
1959-03-06,0.0
1959-03-07,0.0
1959-03-08,0.0
1959-03-09,0.0
1959-03-10,2.0
1959-03-11,69.2
1959-03-12,12.1
1959-03-13,0.0
1959-03-14,0.0
1959-03-15,20.0
1959-03-16,3.0
1959-03-17,0.0
1959-03-18,0.0
1959-03-19,9.2
1959-03-20,0.0
1959-03-21,15.0
1959-03-22,34.2
1959-03-23,2.0
1959-03-24,0.3
1959-03-25,0.0
1959-03-26,0.0
1959-03-27,0.0
1959-03-28,0.0
1959-03-29,8.0
1959-03-30,0.0
1959-03-31,0.0
1959-04-01,0.0
1959-04-02,0.0
1959-04-03,0.0
1959-04-04,0.0
1959-04-05,0.0
1959-04-06,0.0
1959-04-07,3.0
1959-04-08,0.0
1959-04-09,4.2
1959-04-10,0.2
1959-04-11,0.0
1959-04-12,0.0
1959-04-13,0.0
1959-04-14,0.0
1959-04-15,0.0
1959-04-16,0.0
1959-04-17,0.0
1959-04-18,0.0
1959-04-19,0.0
1959-04-20,0.0
1959-04-21,0.0
1959-04-22,0.0
1959-04-23,0.0
1959-04-24,0.0
1959-04-25,0.0
1959-04-26,0.0
1959-04-27,0.0
1959-04-28,11.0
1959-04-29,112.0
1959-04-30,26.2
1959-05-01,10.0
1959-05-02,0.0
1959-05-03,0.0
1959-05-04,0.0
1959-05-05,0.0
1959-05-06,0.0
1959-05-07,10.0
1959-05-08,0.0
1959-05-09,0.0
1959-05-10,0.0
1959-05-11,0.0
1959-05-12,0.0
1959-05-13,1.4
1959-05-14,0.0
1959-05-15,6.0
1959-05-16,0.0
1959-05-17,0.0
1959-05-18,0.0
1959-05-19,0.0
1959-05-20,0.0
1959-05-21,5.0
1959-05-22,0.0
1959-05-23,0.0
1959-05-24,12.2
1959-05-25,3.2
1959-05-26,0.0
1959-05-27,0.0
1959-05-28,0.0
1959-05-29,0.0
1959-05-30,37.0
1959-05-31,0.0
1959-06-01,0.0
1959-06-02,0.0
1959-06-03,27.2
1959-06-04,0.0
1959-06-05,0.0
1959-06-06,0.0
1959-06-07,0.0
1959-06-08,0.0
1959-06-09,0.0
1959-06-10,0.0
1959-06-11,0.0
1959-06-12,0.0
1959-06-13,0.0
1959-06-14,0.0
1959-06-15,0.0
1959-06-16,0.0
1959-06-17,0.0
1959-06-18,0.0
1959-06-19,0.0
1959-06-20,0.0
1959-06-21,0.0
1959-06-22,0.0
1959-06-23,0.0
1959-06-24,0.0
1959-06-25,0.0
1959-06-26,0.0
1959-06-27,0.0
1959-06-28,0.0
1959-06-29,3.0
1959-06-30,0.0
1959-07-01,4.0
1959-07-02,0.0
1959-07-03,0.0
1959-07-04,22.0
1959-07-05,0.3
1959-07-06,0.0
1959-07-07,0.0
1959-07-08,0.0
1959-07-09,0.0
1959-07-10,0.0
1959-07-11,0.0
1959-07-12,0.0
1959-07-13,0.0
1959-07-14,0.0
1959-07-15,0.0
1959-07-16,0.0
1959-07-17,0.0
1959-07-18,0.0
1959-07-19,0.0
1959-07-20,0.3
1959-07-21,0.0
1959-07-22,0.0
1959-07-23,0.0
1959-07-24,0.0
1959-07-25,0.0
1959-07-26,3.0
1959-07-27,0.0
1959-07-28,0.0
1959-07-29,0.0
1959-07-30,0.0
1959-07-31,0.0
1959-08-01,0.0
1959-08-02,0.0
1959-08-03,0.0
1959-08-04,0.0
1959-08-05,0.0
1959-08-06,0.0
1959-08-07,0.0
1959-08-08,0.0
1959-08-09,0.0
1959-08-10,0.0
1959-08-11,0.0
1959-08-12,0.0
1959-08-13,0.0
1959-08-14,0.0
1959-08-15,0.0
1959-08-16,3.0
1959-08-17,0.0
1959-08-18,0.0
1959-08-19,0.2
1959-08-20,0.0
1959-08-21,8.0
1959-08-22,18.2
1959-08-23,0.0
1959-08-24,0.0
1959-08-25,0.0
1959-08-26,0.0
1959-08-27,0.0
1959-08-28,0.0
1959-08-29,0.0
1959-08-30,0.0
1959-08-31,0.0
1959-09-01,0.0
1959-09-02,0.0
1959-09-03,0.0
1959-09-04,0.0
1959-09-05,0.0
1959-09-06,0.0
1959-09-07,0.0
1959-09-08,0.0
1959-09-09,0.0
1959-09-10,0.0
1959-09-11,0.0
1959-09-12,0.0
1959-09-13,0.0
1959-09-14,18.0
1959-09-15,9.2
1959-09-16,22.0
1959-09-17,12.2
1959-09-18,0.0
1959-09-19,0.0
1959-09-20,0.0
1959-09-21,0.0
1959-09-22,0.0
1959-09-23,0.0
1959-09-24,0.0
1959-09-25,0.0
1959-09-26,0.0
1959-09-27,0.0
1959-09-28,3.0
1959-09-29,2.0
1959-09-30,0.0
1959-10-01,0.0
1959-10-02,0.0
1959-10-03,0.0
1959-10-04,0.0
1959-10-05,0.2
1959-10-06,0.0
1959-10-07,18.2
1959-10-08,12.2
1959-10-09,0.0
1959-10-10,0.0
1959-10-11,0.0
1959-10-12,0.0
1959-10-13,0.0
1959-10-14,0.0
1959-10-15,4.9
1959-10-16,0.0
1959-10-17,0.2
1959-10-18,42.0
1959-10-19,0.0
1959-10-20,0.0
1959-10-21,0.0
1959-10-22,43.2
1959-10-23,14.2
1959-10-24,18.1
1959-10-25,10.2
1959-10-26,0.0
1959-10-27,0.0
1959-10-28,0.0
1959-10-29,0.0
1959-10-30,12.0
1959-10-31,7.0
1959-11-01,65.0
1959-11-02,30.2
1959-11-03,21.0
1959-11-04,4.2
1959-11-05,2.0
1959-11-06,0.0
1959-11-07,0.0
1959-11-08,0.0
1959-11-09,0.0
1959-11-10,0.0
1959-11-11,0.0
1959-11-12,0.0
1959-11-13,0.0
1959-11-14,3.0
1959-11-15,0.0
1959-11-16,2.0
1959-11-17,0.0
1959-11-18,0.0
1959-11-19,0.0
1959-11-20,67.0
1959-11-21,10.0
1959-11-22,32.0
1959-11-23,28.2
1959-11-24,4.2
1959-11-25,0.0
1959-11-26,0.0
1959-11-27,17.0
1959-11-28,28.2
1959-11-29,2.0
1959-11-30,0.0
1959-12-01,0.0
1959-12-02,0.0
1959-12-03,0.0
1959-12-04,0.0
1959-12-05,2.0
1959-12-06,9.2
1959-12-07,63.0
1959-12-08,0.0
1959-12-09,0.0
1959-12-10,0.0
1959-12-11,30.0
1959-12-12,25.2
1959-12-13,30.0
1959-12-14,12.2
1959-12-15,0.0
1959-12-16,0.0
1959-12-17,0.0
1959-12-18,0.0
1959-12-19,0.0
1959-12-20,2.0
1959-12-21,4.0
1959-12-22,0.0
1959-12-23,0.0
1959-12-24,0.0
1959-12-25,60.0
1959-12-26,72.0
1959-12-27,2.0
1959-12-28,0.0
1959-12-29,0.0
1959-12-30,0.0
1959-12-31,0.0
1960-01-01,30.2
1960-01-02,10.0
1960-01-03,6.2
1960-01-04,2.0
1960-01-05,6.2
1960-01-06,35.2
1960-01-07,0.0
1960-01-08,0.0
1960-01-09,0.0
1960-01-10,6.2
1960-01-11,0.0
1960-01-12,0.0
1960-01-13,8.2
1960-01-14,4.0
1960-01-15,2.2
1960-01-16,0.0
1960-01-17,0.0
1960-01-18,3.0
1960-01-19,8.3
1960-01-20,12.2
1960-01-21,3.2
1960-01-22,8.2
1960-01-23,30.1
1960-01-24,6.2
1960-01-25,52.0
1960-01-26,6.2
1960-01-27,0.0
1960-01-28,0.0
1960-01-29,0.0
1960-01-30,3.0
1960-01-31,0.0
1960-02-01,3.2
1960-02-02,0.0
1960-02-03,48.2
1960-02-04,6.1
1960-02-05,0.0
1960-02-06,0.0
1960-02-07,0.0
1960-02-08,0.0
1960-02-09,3.2
1960-02-10,0.0
1960-02-11,4.1
1960-02-12,0.0
1960-02-13,0.0
1960-02-14,0.0
1960-02-15,0.0
1960-02-16,0.0
1960-02-17,0.0
1960-02-18,0.0
1960-02-19,0.0
1960-02-20,0.0
1960-02-21,0.0
1960-02-22,0.0
1960-02-23,0.0
1960-02-24,0.0
1960-02-25,0.0
1960-02-26,0.0
1960-02-27,0.0
1960-02-28,0.0
1960-02-29,0.0
1960-03-01,10.2
1960-03-02,30.0
1960-03-03,25.2
1960-03-04,8.0
1960-03-05,3.0
1960-03-06,4.0
1960-03-07,10.2
1960-03-08,94.2
1960-03-09,83.0
1960-03-10,3.2
1960-03-11,0.0
1960-03-12,0.0
1960-03-13,0.0
1960-03-14,0.0
1960-03-15,0.0
1960-03-16,36.2
1960-03-17,0.0
1960-03-18,2.0
1960-03-19,0.0
1960-03-20,3.0
1960-03-21,0.0
1960-03-22,0.0
1960-03-23,0.0
1960-03-24,0.0
1960-03-25,0.0
1960-03-26,0.0
1960-03-27,31.0
1960-03-28,20.0
1960-03-29,30.0
1960-03-30,70.2
1960-03-31,4.2
1960-04-01,0.0
1960-04-02,0.0
1960-04-03,0.0
1960-04-04,0.0
1960-04-05,0.0
1960-04-06,0.0
1960-04-07,0.0
1960-04-08,0.0
1960-04-09,0.0
1960-04-10,0.0
1960-04-11,5.2
1960-04-12,8.3
1960-04-13,0.0
1960-04-14,0.0
1960-04-15,0.0
1960-04-16,0.0
1960-04-17,0.0
1960-04-18,0.0
1960-04-19,0.0
1960-04-20,0.0
1960-04-21,54.2
1960-04-22,0.0
1960-04-23,0.0
1960-04-24,0.0
1960-04-25,0.0
1960-04-26,0.0
1960-04-27,0.0
1960-04-28,0.0
1960-04-29,0.2
1960-04-30,20.1
1960-05-01,0.0
1960-05-02,0.0
1960-05-03,0.0
1960-05-04,0.0
1960-05-05,0.0
1960-05-06,0.0
1960-05-07,0.0
1960-05-08,0.0
1960-05-09,0.0
1960-05-10,0.0
1960-05-11,4.2
1960-05-12,2.0
1960-05-13,0.2
1960-05-14,0.0
1960-05-15,0.0
1960-05-16,0.0
1960-05-17,2.0
1960-05-18,0.0
1960-05-19,0.0
1960-05-20,0.0
1960-05-21,0.0
1960-05-22,0.0
1960-05-23,4.2
1960-05-24,6.2
1960-05-25,0.0
1960-05-26,2.0
1960-05-27,0.0
1960-05-28,0.0
1960-05-29,0.0
1960-05-30,0.0
1960-05-31,0.0
1960-06-01,0.0
1960-06-02,0.0
1960-06-03,0.0
1960-06-04,0.0
1960-06-05,0.0
1960-06-06,0.0
1960-06-07,0.0
1960-06-08,0.0
1960-06-09,0.0
1960-06-10,0.0
1960-06-11,0.0
1960-06-12,0.0
1960-06-13,0.0
1960-06-14,0.0
1960-06-15,0.0
1960-06-16,0.0
1960-06-17,0.0
1960-06-18,0.0
1960-06-19,0.2
1960-06-20,4.0
1960-06-21,0.0
1960-06-22,0.0
1960-06-23,0.0
1960-06-24,0.0
1960-06-25,6.2
1960-06-26,0.0
1960-06-27,0.0
1960-06-28,4.2
1960-06-29,0.0
1960-06-30,0.0
1960-07-01,0.0
1960-07-02,0.0
1960-07-03,0.0
1960-07-04,0.0
1960-07-05,0.0
1960-07-06,0.0
1960-07-07,0.0
1960-07-08,0.0
1960-07-09,0.0
1960-07-10,0.2
1960-07-11,0.0
1960-07-12,0.0
1960-07-13,0.0
1960-07-14,2.0
1960-07-15,0.0
1960-07-16,0.0
1960-07-17,0.0
1960-07-18,0.0
1960-07-19,0.0
1960-07-20,22.0
1960-07-21,5.0
1960-07-22,0.0
1960-07-23,0.0
1960-07-24,0.0
1960-07-25,0.0
1960-07-26,8.0
1960-07-27,11.0
1960-07-28,12.0
1960-07-29,2.0
1960-07-30,3.1
1960-07-31,4.2
1960-08-01,0.0
1960-08-02,0.0
1960-08-03,0.0
1960-08-04,0.0
1960-08-05,0.0
1960-08-06,3.0
1960-08-07,8.0
1960-08-08,0.0
1960-08-09,0.0
1960-08-10,0.0
1960-08-11,0.0
1960-08-12,0.0
1960-08-13,0.0
1960-08-14,0.0
1960-08-15,0.0
1960-08-16,0.0
1960-08-17,0.0
1960-08-18,0.0
1960-08-19,0.0
1960-08-20,0.0
1960-08-21,3.0
1960-08-22,2.0
1960-08-23,6.2
1960-08-24,8.0
1960-08-25,10.2
1960-08-26,2.0
1960-08-27,0.0
1960-08-28,0.0
1960-08-29,0.0
1960-08-30,0.0
1960-08-31,0.0
1960-09-01,0.0
1960-09-02,0.0
1960-09-03,0.0
1960-09-04,8.0
1960-09-05,2.0
1960-09-06,0.0
1960-09-07,0.0
1960-09-08,0.0
1960-09-09,0.0
1960-09-10,0.0
1960-09-11,0.0
1960-09-12,0.0
1960-09-13,0.0
1960-09-14,0.0
1960-09-15,0.0
1960-09-16,0.0
1960-09-17,0.0
1960-09-18,0.0
1960-09-19,0.0
1960-09-20,0.0
1960-09-21,0.0
1960-09-22,0.0
1960-09-23,0.0
1960-09-24,0.0
1960-09-25,0.0
1960-09-26,0.0
1960-09-27,0.0
1960-09-28,10.2
1960-09-29,15.3
1960-09-30,2.0
1960-10-01,0.2
1960-10-02,0.0
1960-10-03,0.0
1960-10-04,0.1
1960-10-05,0.0
1960-10-06,0.0
1960-10-07,0.0
1960-10-08,0.0
1960-10-09,0.0
1960-10-10,0.0
1960-10-11,0.0
1960-10-12,0.0
1960-10-13,0.0
1960-10-14,0.0
1960-10-15,0.0
1960-10-16,0.0
1960-10-17,0.0
1960-10-18,0.0
1960-10-19,0.0
1960-10-20,0.0
1960-10-21,0.0
1960-10-22,0.0
1960-10-23,0.0
1960-10-24,0.0
1960-10-25,0.0
1960-10-26,0.0
1960-10-27,2.0
1960-10-28,32.0
1960-10-29,18.0
1960-10-30,20.0
1960-10-31,10.2
