Datas,2041003
2009-02-07,1.3
2009-02-08,0.0
2009-02-09,0.0
2009-02-10,16.0
2009-02-11,19.6
2009-02-12,0.0
2009-02-13,30.7
2009-02-14,11.8
2009-02-15,0.0
2009-02-16,0.0
2009-02-17,20.4
2009-02-18,0.5
2009-02-19,0.0
2009-02-20,1.2
2009-02-21,0.0
2009-02-22,0.0
2009-02-23,0.0
2009-02-24,0.0
2009-02-25,0.0
2009-02-26,22.1
2009-02-27,0.0
2009-02-28,0.0
2009-03-01,0.0
2009-03-02,0.0
2009-03-03,0.0
2009-03-04,0.0
2009-03-05,0.0
2009-03-06,0.0
2009-03-07,0.7
2009-03-08,0.1
2009-03-09,0.0
2009-03-10,0.0
2009-03-11,0.0
2009-03-12,0.0
2009-03-13,0.0
2009-03-14,0.9
2009-03-15,18.2
2009-03-16,11.1
2009-03-17,11.5
2009-03-18,0.0
2009-03-19,1.6
2009-03-20,0.0
2009-03-21,1.9
2009-03-22,67.7
2009-03-23,7.5
2009-03-24,7.2
2009-03-25,32.1
2009-03-26,0.4
2009-03-27,7.4
2009-03-28,2.5
2009-03-29,26.6
2009-03-30,32.5
2009-03-31,15.6
2009-04-01,31.7
2009-04-02,28.4
2009-04-03,7.5
2009-04-04,0.7
2009-04-05,3.6
2009-04-06,0.0
2009-04-07,54.0
2009-04-08,7.8
2009-04-09,8.8
2009-04-10,0.0
2009-04-11,13.2
2009-04-12,1.0
2009-04-13,0.3
2009-04-14,1.2
2009-04-15,18.7
2009-04-16,13.6
2009-04-17,33.3
2009-04-18,0.4
2009-04-19,0.0
2009-04-20,0.0
2009-04-21,0.0
2009-04-22,7.7
2009-04-23,11.8
2009-04-24,0.0
2009-04-25,0.0
2009-04-26,0.0
2009-04-27,0.0
2009-04-28,0.0
2009-04-29,0.0
2009-04-30,0.0
2009-05-01,0.0
2009-05-02,0.0
2009-05-03,1.0
2009-05-04,0.0
2009-05-05,0.0
2009-05-06,0.0
2009-05-07,0.0
2009-05-08,0.0
2009-05-09,0.0
2009-05-10,0.0
2009-05-11,0.0
2009-05-12,0.0
2009-05-13,0.0
2009-05-14,0.0
2009-05-15,0.0
2009-05-16,0.0
2009-05-17,0.3
2009-05-18,0.0
2009-05-19,0.0
2009-05-20,0.0
2009-05-21,1.7
2009-05-22,2.9
2009-05-23,1.7
2009-05-24,0.0
2009-05-25,0.0
2009-05-26,0.0
2009-05-27,0.0
2009-05-28,0.0
2009-05-29,0.0
2009-05-30,2.5
2009-05-31,0.3
2009-06-01,0.0
2009-06-02,2.4
2009-06-03,0.4
2009-06-04,0.0
2009-06-05,0.0
2009-06-06,0.0
2009-06-07,0.0
2009-06-08,0.0
2009-06-09,0.0
2009-06-10,0.0
2009-06-11,0.0
2009-06-12,0.5
2009-06-13,12.3
2009-06-14,0.4
2009-06-15,0.0
2009-06-16,0.0
2009-06-17,0.0
2009-06-18,0.0
2009-06-19,0.0
2009-06-20,0.0
2009-06-21,0.0
2009-06-22,0.0
2009-06-23,0.0
2009-06-24,0.0
2009-06-25,0.0
2009-06-26,0.0
2009-06-27,1.6
2009-06-28,2.5
2009-06-29,0.6
2009-06-30,0.0
2009-07-01,0.0
2009-07-02,0.0
2009-07-03,0.0
2009-07-04,0.0
2009-07-05,5.4
2009-07-06,0.7
2009-07-07,0.0
2009-07-08,0.0
2009-07-09,0.0
2009-07-10,0.0
2009-07-11,0.0
2009-07-12,0.0
2009-07-13,0.0
2009-07-14,0.0
2009-07-15,0.0
2009-07-16,1.9
2009-07-17,0.0
2009-07-18,0.0
2009-07-19,0.0
2009-07-20,26.0
2009-07-21,2.3
2009-07-22,0.0
2009-07-23,0.0
2009-07-24,0.0
2009-07-25,0.0
2009-07-26,0.0
2009-07-27,0.0
2009-07-28,0.0
2009-07-29,0.0
2009-07-30,0.0
2009-07-31,0.0
2009-08-01,0.0
2009-08-02,0.0
2009-08-03,0.0
2009-08-04,0.0
2009-08-05,0.0
2009-08-06,0.0
2009-08-07,0.0
2009-08-08,0.0
2009-08-09,0.0
2009-08-10,0.0
2009-08-11,0.0
2009-08-12,0.0
2009-08-13,0.0
2009-08-14,0.0
2009-08-15,0.0
2009-08-16,0.0
2009-08-17,0.0
2009-08-18,0.0
2009-08-19,0.0
2009-08-20,0.0
2009-08-21,5.6
2009-08-22,10.8
2009-08-23,0.3
2009-08-24,0.0
2009-08-25,0.0
2009-08-26,42.5
2009-08-27,0.5
2009-08-28,0.0
2009-08-29,0.0
2009-08-30,0.0
2009-08-31,0.0
2009-09-01,0.0
2009-09-02,0.0
2009-09-03,0.0
2009-09-04,0.0
2009-09-05,0.3
2009-09-06,0.0
2009-09-07,0.0
2009-09-08,1.4
2009-09-09,0.0
2009-09-10,0.0
2009-09-11,0.0
2009-09-12,0.0
2009-09-13,0.0
2009-09-14,0.0
2009-09-15,0.0
2009-09-16,0.0
2009-09-17,0.0
2009-09-18,0.0
2009-09-19,0.0
2009-09-20,0.0
2009-09-21,24.7
2009-09-22,6.7
2009-09-23,4.5
2009-09-24,0.0
2009-09-25,30.4
2009-09-26,1.0
2009-09-27,0.0
2009-09-28,0.0
2009-09-29,0.0
2009-09-30,14.7
2009-10-01,1.0
2009-10-02,0.0
2009-10-03,0.0
2009-10-04,0.8
2009-10-05,0.0
2009-10-06,0.0
2009-10-07,0.0
2009-10-08,0.7
2009-10-09,5.7
2009-10-10,4.4
2009-10-11,12.1
2009-10-12,0.0
2009-10-13,0.0
2009-10-14,0.0
2009-10-15,0.0
2009-10-16,0.0
2009-10-17,0.0
2009-10-18,2.6
2009-10-19,0.0
2009-10-20,19.1
2009-10-21,0.4
2009-10-22,0.0
2009-10-23,2.8
2009-10-24,0.0
2009-10-25,0.0
2009-10-26,0.6
2009-10-27,0.0
2009-10-28,63.2
2009-10-29,30.9
2009-10-30,29.1
2009-10-31,12.4
2009-11-01,10.5
2009-11-02,0.2
2009-11-03,0.0
2009-11-04,0.0
2009-11-05,0.0
2009-11-06,0.0
2009-11-07,0.0
2009-11-08,0.0
2009-11-09,9.2
2009-11-10,0.4
2009-11-11,4.9
2009-11-12,0.0
2009-11-13,0.0
2009-11-14,0.0
2009-11-15,0.0
2009-11-16,0.2
2009-11-17,3.4
2009-11-18,4.3
2009-11-19,0.0
2009-11-20,0.0
2009-11-21,0.0
2009-11-22,0.0
2009-11-23,0.0
2009-11-24,0.0
2009-11-25,0.0
2009-11-26,0.0
2009-11-27,0.0
2009-11-28,0.0
2009-11-29,2.1
2009-11-30,20.9
2009-12-01,0.8
2009-12-02,0.0
2009-12-03,0.0
2009-12-04,5.4
2009-12-05,18.0
2009-12-06,59.2
2009-12-07,20.3
2009-12-08,0.0
2009-12-09,4.5
2009-12-10,5.4
2009-12-11,0.0
2009-12-12,0.0
2009-12-13,0.0
2009-12-14,15.8
2009-12-15,24.2
2009-12-16,0.0
2009-12-17,0.0
2009-12-18,0.0
2009-12-19,50.2
2009-12-20,0.0
2009-12-21,0.0
2009-12-22,14.0
2009-12-23,0.0
2009-12-24,1.7
2009-12-25,1.8
2009-12-26,0.0
2009-12-27,2.7
2009-12-28,1.0
2009-12-29,8.6
2009-12-30,0.0
2009-12-31,0.0
2010-01-01,2.0
2010-01-02,0.0
2010-01-03,0.0
2010-01-04,0.0
2010-01-05,1.8
2010-01-06,0.0
2010-01-07,0.2
2010-01-08,1.2
2010-01-09,0.0
2010-01-10,0.0
2010-01-11,0.0
2010-01-12,0.0
2010-01-13,0.0
2010-01-14,0.0
2010-01-15,0.0
2010-01-16,24.1
2010-01-17,0.0
2010-01-18,0.0
2010-01-19,0.0
2010-01-20,0.0
2010-01-21,0.0
2010-01-22,0.0
2010-01-23,0.0
2010-01-24,0.0
2010-01-25,0.0
2010-01-26,0.0
2010-01-27,0.0
2010-01-28,0.0
2010-01-29,0.0
2010-01-30,0.0
2010-01-31,0.0
2010-02-01,3.0
2010-02-02,0.0
2010-02-03,0.0
2010-02-04,1.1
2010-02-05,2.9
2010-02-06,0.0
2010-02-07,17.2
2010-02-08,0.0
2010-02-09,0.0
2010-02-10,0.0
2010-02-11,0.9
2010-02-12,0.0
2010-02-13,0.0
2010-02-14,0.0
2010-02-15,0.0
2010-02-16,0.0
2010-02-17,0.0
2010-02-18,0.0
2010-02-19,0.0
2010-02-20,0.0
2010-02-21,0.0
2010-02-22,16.8
2010-02-23,0.0
2010-02-24,0.0
2010-02-25,0.0
2010-02-26,72.6
2010-02-27,8.2
2010-02-28,0.0
2010-03-01,0.0
2010-03-02,18.1
2010-03-03,5.0
2010-03-04,31.8
2010-03-05,17.0
2010-03-06,45.6
2010-03-07,5.3
2010-03-08,6.9
2010-03-09,0.7
2010-03-10,0.0
2010-03-11,3.2
2010-03-12,18.9
2010-03-13,7.2
2010-03-14,0.0
2010-03-15,0.0
2010-03-16,16.1
2010-03-17,10.8
2010-03-18,8.2
2010-03-19,0.5
2010-03-20,0.0
2010-03-21,1.2
2010-03-22,16.8
2010-03-23,0.0
2010-03-24,0.0
2010-03-25,0.0
2010-03-26,0.0
2010-03-27,0.0
2010-03-28,0.0
2010-03-29,0.0
2010-03-30,0.0
2010-03-31,80.2
2010-04-01,16.4
2010-04-02,20.0
2010-04-03,11.2
2010-04-04,5.4
2010-04-05,0.5
2010-04-06,37.3
2010-04-07,10.6
2010-04-08,0.0
2010-04-09,0.0
2010-04-10,0.0
2010-04-11,0.9
2010-04-12,3.2
2010-04-13,16.7
2010-04-14,0.0
2010-04-15,3.4
2010-04-16,0.0
2010-04-17,14.7
2010-04-18,0.0
2010-04-19,0.0
2010-04-20,0.0
2010-04-21,0.0
2010-04-22,0.0
2010-04-23,0.0
2010-04-24,0.0
2010-04-25,0.0
2010-04-26,0.0
2010-04-27,0.0
2010-04-28,0.0
2010-04-29,3.8
2010-04-30,0.0
2010-05-01,4.8
2010-05-02,0.0
2010-05-03,0.0
2010-05-04,0.0
2010-05-05,0.0
2010-05-06,0.0
2010-05-07,0.0
2010-05-08,0.0
2010-05-09,0.0
2010-05-10,33.0
2010-05-11,5.0
2010-05-12,1.6
2010-05-13,2.2
2010-05-14,0.0
2010-05-15,0.0
2010-05-16,0.0
2010-05-17,0.0
2010-05-18,0.0
2010-05-19,0.0
2010-05-20,0.0
2010-05-21,0.0
2010-05-22,0.4
2010-05-23,0.0
2010-05-24,2.3
2010-05-25,0.5
2010-05-26,0.0
2010-05-27,0.0
2010-05-28,9.0
2010-05-29,1.8
2010-05-30,0.0
2010-05-31,0.0
2010-06-01,0.3
2010-06-02,1.1
2010-06-03,0.0
2010-06-04,0.4
2010-06-05,0.0
2010-06-06,0.0
2010-06-07,0.0
2010-06-08,0.0
2010-06-09,0.0
2010-06-10,0.0
2010-06-11,0.0
2010-06-12,0.0
2010-06-13,0.0
2010-06-14,0.6
2010-06-15,0.0
2010-06-16,0.0
2010-06-17,0.0
2010-06-18,0.0
2010-06-19,0.0
2010-06-20,0.0
2010-06-21,0.0
2010-06-22,0.0
2010-06-23,0.4
2010-06-24,1.1
2010-06-25,0.0
2010-06-26,0.0
2010-06-27,0.0
2010-06-28,0.0
2010-06-29,0.0
2010-06-30,0.0
2010-07-01,0.0
2010-07-02,0.0
2010-07-03,0.0
2010-07-04,2.6
2010-07-05,1.9
2010-07-06,2.5
2010-07-07,0.0
2010-07-08,0.0
2010-07-09,0.0
2010-07-10,0.0
2010-07-11,50.4
2010-07-12,0.0
2010-07-13,0.0
2010-07-14,0.0
2010-07-15,0.6
2010-07-16,0.0
2010-07-17,0.5
2010-07-18,4.8
2010-07-19,7.8
2010-07-20,0.5
2010-07-21,0.0
2010-07-22,0.0
2010-07-23,0.0
2010-07-24,0.0
2010-07-25,2.0
2010-07-26,0.0
2010-07-27,0.0
2010-07-28,1.3
2010-07-29,0.0
2010-07-30,0.0
2010-07-31,0.0
2010-08-01,0.0
2010-08-02,0.0
2010-08-03,0.0
2010-08-04,0.0
2010-08-05,0.0
2010-08-06,0.0
2010-08-07,0.0
2010-08-08,0.0
2010-08-09,0.0
2010-08-10,0.4
2010-08-11,3.8
2010-08-12,0.0
2010-08-13,0.0
2010-08-14,0.0
2010-08-15,4.6
2010-08-16,6.6
2010-08-17,0.0
2010-08-18,0.0
2010-08-19,0.0
2010-08-20,0.0
2010-08-21,0.0
2010-08-22,0.0
2010-08-23,0.0
2010-08-24,0.0
2010-08-25,0.0
2010-08-26,0.0
2010-08-27,0.0
2010-08-28,0.0
2010-08-29,0.0
2010-08-30,0.0
2010-08-31,0.0
2010-09-01,0.0
2010-09-02,0.0
2010-09-03,0.0
2010-09-04,0.0
2010-09-05,0.0
2010-09-06,0.0
2010-09-07,0.0
2010-09-08,3.4
2010-09-09,0.9
2010-09-10,0.5
2010-09-11,0.0
2010-09-12,0.0
2010-09-13,0.0
2010-09-14,0.0
2010-09-15,0.0
2010-09-16,0.0
2010-09-17,0.0
2010-09-18,0.0
2010-09-19,3.2
2010-09-20,5.2
2010-09-21,0.3
2010-09-22,0.0
2010-09-23,0.0
2010-09-24,0.0
2010-09-25,0.0
2010-09-26,0.0
2010-09-27,0.0
2010-09-28,0.0
2010-09-29,13.0
2010-09-30,7.0
2010-10-01,0.0
2010-10-02,46.3
2010-10-03,0.0
2010-10-04,4.0
2010-10-05,0.2
2010-10-06,0.0
2010-10-07,0.0
2010-10-08,3.8
2010-10-09,0.0
2010-10-10,0.0
2010-10-11,0.0
2010-10-12,0.9
2010-10-13,0.3
2010-10-14,0.0
2010-10-15,0.0
2010-10-16,0.0
2010-10-17,0.0
2010-10-18,3.4
2010-10-19,55.1
2010-10-20,1.3
2010-10-21,0.0
2010-10-22,0.0
2010-10-23,0.0
2010-10-24,0.0
2010-10-25,0.0
2010-10-26,0.0
2010-10-27,39.7
2010-10-28,0.0
2010-10-29,0.0
2010-10-30,0.0
2010-10-31,0.0
2010-11-01,0.0
2010-11-02,69.6
2010-11-03,2.6
2010-11-04,1.5
2010-11-05,0.0
2010-11-06,0.2
2010-11-07,15.5
2010-11-08,39.6
2010-11-09,0.0
2010-11-10,0.4
2010-11-11,4.3
2010-11-12,17.4
2010-11-13,12.5
2010-11-14,13.7
2010-11-15,4.4
2010-11-16,3.0
2010-11-17,17.1
2010-11-18,0.2
2010-11-19,0.0
2010-11-20,0.0
2010-11-21,0.0
2010-11-22,0.0
2010-11-23,50.9
2010-11-24,9.6
2010-11-25,3.2
2010-11-26,7.4
2010-11-27,19.2
2010-11-28,0.0
2010-11-29,0.0
2010-11-30,0.0
2010-12-01,0.0
2010-12-02,6.5
2010-12-03,0.0
2010-12-04,31.5
2010-12-05,0.0
2010-12-06,0.0
2010-12-07,11.7
2010-12-08,0.9
2010-12-09,1.7
2010-12-10,4.6
2010-12-11,0.0
2010-12-12,0.0
2010-12-13,0.0
2010-12-14,0.0
2010-12-15,23.0
2010-12-16,6.2
2010-12-17,0.0
2010-12-18,0.0
2010-12-19,0.0
2010-12-20,0.0
2010-12-21,0.0
2010-12-22,0.0
2010-12-23,11.1
2010-12-24,41.4
2010-12-25,41.7
2010-12-26,0.0
2010-12-27,11.1
2010-12-28,4.3
2010-12-29,75.2
2010-12-30,136.4
2010-12-31,20.6
2011-01-01,28.7
2011-01-02,0.5
2011-01-03,0.0
2011-01-04,0.0
2011-01-05,0.0
2011-01-06,0.0
2011-01-07,0.0
2011-01-08,0.0
2011-01-09,0.0
2011-01-10,0.0
2011-01-11,0.0
2011-01-12,2.1
2011-01-13,0.0
2011-01-14,1.1
2011-01-15,20.2
2011-01-16,5.6
2011-01-17,0.0
2011-01-18,0.0
2011-01-19,0.0
2011-01-20,0.0
2011-01-21,0.0
2011-01-22,0.0
2011-01-23,0.0
2011-01-24,0.0
2011-01-25,0.0
2011-01-26,0.0
2011-01-27,0.0
2011-01-28,0.0
2011-01-29,0.0
2011-01-30,0.0
2011-01-31,0.0
2011-02-01,0.0
2011-02-02,0.0
2011-02-03,0.0
2011-02-04,0.0
2011-02-05,0.0
2011-02-06,0.0
2011-02-07,0.0
2011-02-08,0.8
2011-02-09,0.0
2011-02-10,0.0
2011-02-11,0.0
2011-02-12,0.0
2011-02-13,0.0
2011-02-14,0.0
2011-02-15,0.0
2011-02-16,0.0
2011-02-17,0.0
2011-02-18,0.0
2011-02-19,0.0
2011-02-20,0.0
2011-02-21,0.0
2011-02-22,0.0
2011-02-23,0.0
2011-02-24,90.5
2011-02-25,0.0
2011-02-26,7.9
2011-02-27,0.2
2011-02-28,17.4
2011-03-01,53.4
2011-03-02,27.0
2011-03-03,3.0
2011-03-04,33.7
2011-03-05,7.7
2011-03-06,16.9
2011-03-07,29.0
2011-03-08,52.0
2011-03-09,59.3
2011-03-10,43.7
2011-03-11,15.0
2011-03-12,4.1
2011-03-13,16.5
2011-03-14,9.7
2011-03-15,20.3
2011-03-16,17.2
2011-03-17,12.8
2011-03-18,2.0
2011-03-19,0.0
2011-03-20,0.0
2011-03-21,0.0
2011-03-22,3.1
2011-03-23,2.7
2011-03-24,1.0
2011-03-25,0.0
2011-03-26,0.0
2011-03-27,0.0
2011-03-28,0.0
2011-03-29,0.0
2011-03-30,0.0
2011-03-31,29.4
2011-04-01,6.7
2011-04-02,0.2
2011-04-03,2.7
2011-04-04,39.2
2011-04-05,2.2
2011-04-06,6.2
2011-04-07,0.0
2011-04-08,0.0
2011-04-09,0.0
2011-04-10,0.0
2011-04-11,0.0
2011-04-12,0.0
2011-04-13,0.0
2011-04-14,0.0
2011-04-15,0.0
2011-04-16,0.0
2011-04-17,0.0
2011-04-18,0.0
2011-04-19,0.0
2011-04-20,0.0
2011-04-21,5.0
2011-04-22,0.0
2011-04-23,0.0
2011-04-24,0.0
2011-04-25,5.2
2011-04-26,0.0
2011-04-27,4.8
2011-04-28,1.4
2011-04-29,4.4
2011-04-30,40.5
2011-05-01,0.0
2011-05-02,0.0
2011-05-03,0.0
2011-05-04,3.0
2011-05-05,0.0
2011-05-06,0.0
2011-05-07,0.0
2011-05-08,0.0
2011-05-09,0.0
2011-05-10,0.0
2011-05-11,4.0
2011-05-12,0.0
2011-05-13,0.0
2011-05-14,5.3
2011-05-15,0.0
2011-05-16,0.2
2011-05-17,0.0
2011-05-18,0.0
2011-05-19,0.0
2011-05-20,0.0
2011-05-21,3.3
2011-05-22,0.8
2011-05-23,0.0
2011-05-24,0.0
2011-05-25,0.0
2011-05-26,0.0
2011-05-27,0.0
2011-05-28,0.0
2011-05-29,0.0
2011-05-30,0.0
2011-05-31,0.0
2011-06-01,0.0
2011-06-02,0.0
2011-06-03,0.0
2011-06-04,0.0
2011-06-05,0.0
2011-06-06,0.0
2011-06-07,0.0
2011-06-08,0.0
2011-06-09,0.0
2011-06-10,10.8
2011-06-11,0.8
2011-06-12,0.0
2011-06-13,0.0
2011-06-14,0.0
2011-06-15,2.1
2011-06-16,0.9
2011-06-17,0.0
2011-06-18,0.0
2011-06-19,0.0
2011-06-20,0.0
2011-06-21,0.0
2011-06-22,0.0
2011-06-23,0.0
2011-06-24,6.1
2011-06-25,0.0
2011-06-26,0.0
2011-06-27,0.0
2011-06-28,2.0
2011-06-29,0.3
2011-06-30,0.0
2011-07-01,0.0
2011-07-02,0.0
2011-07-03,0.0
2011-07-04,0.0
2011-07-05,7.8
2011-07-06,0.0
2011-07-07,0.2
2011-07-08,1.1
2011-07-09,0.0
2011-07-10,0.0
2011-07-11,0.0
2011-07-12,0.0
2011-07-13,0.0
2011-07-14,0.0
2011-07-15,0.0
2011-07-16,0.0
2011-07-17,0.0
2011-07-18,0.0
2011-07-19,0.0
2011-07-20,0.0
2011-07-21,0.0
2011-07-22,0.0
2011-07-23,0.2
2011-07-24,8.4
2011-07-25,9.8
2011-07-26,5.6
2011-07-27,0.0
2011-07-28,0.0
2011-07-29,0.0
2011-07-30,0.0
2011-07-31,0.0
2011-08-01,0.0
2011-08-02,0.0
2011-08-03,0.0
2011-08-04,0.0
2011-08-05,0.0
2011-08-06,0.0
2011-08-07,0.0
2011-08-08,0.0
2011-08-09,0.0
2011-08-10,0.0
2011-08-11,0.7
2011-08-12,10.4
2011-08-13,0.0
2011-08-14,0.0
2011-08-15,0.0
2011-08-16,0.0
2011-08-17,0.0
2011-08-18,0.0
2011-08-19,0.0
2011-08-20,0.0
2011-08-21,0.0
2011-08-22,20.5
2011-08-23,0.4
2011-08-24,0.0
2011-08-25,0.0
2011-08-26,0.0
2011-08-27,10.9
2011-08-28,0.2
2011-08-29,0.0
2011-08-30,0.0
2011-08-31,0.0
2011-09-01,0.3
2011-09-02,0.0
2011-09-03,0.0
2011-09-04,0.0
2011-09-05,0.0
2011-09-06,0.0
2011-09-07,0.0
2011-09-08,0.0
2011-09-09,0.0
2011-09-10,0.0
2011-09-11,0.0
2011-09-12,0.0
2011-09-13,0.0
2011-09-14,0.0
2011-09-15,19.3
2011-09-16,4.6
2011-09-17,0.0
2011-09-18,1.8
2011-09-19,0.0
2011-09-20,0.0
2011-09-21,0.0
2011-09-22,0.0
2011-09-23,0.0
2011-09-24,0.0
2011-09-25,2.2
2011-09-26,2.7
2011-09-27,0.0
2011-09-28,0.0
2011-09-29,0.0
2011-09-30,0.0
2011-10-01,0.0
2011-10-02,0.0
2011-10-03,0.0
2011-10-04,0.8
2011-10-05,7.3
2011-10-06,0.3
2011-10-07,0.0
2011-10-08,0.0
2011-10-09,0.0
2011-10-10,0.0
2011-10-11,0.0
2011-10-12,0.0
2011-10-13,0.3
2011-10-14,0.0
2011-10-15,0.0
2011-10-16,11.0
2011-10-17,60.7
2011-10-18,9.8
2011-10-19,1.5
2011-10-20,13.7
2011-10-21,0.0
2011-10-22,2.0
2011-10-23,10.0
2011-10-24,8.8
2011-10-25,0.1
2011-10-26,0.0
2011-10-27,0.0
2011-10-28,0.0
2011-10-29,23.1
2011-10-30,0.0
2011-10-31,28.8
2011-11-01,23.5
2011-11-02,0.7
2011-11-03,0.0
2011-11-04,0.0
2011-11-05,0.0
2011-11-06,0.0
2011-11-07,0.0
2011-11-08,0.0
2011-11-09,0.0
2011-11-10,0.0
2011-11-11,0.0
2011-11-12,0.0
2011-11-13,0.0
2011-11-14,31.0
2011-11-15,27.9
2011-11-16,5.5
2011-11-17,28.5
2011-11-18,5.6
2011-11-19,8.9
2011-11-20,17.0
2011-11-21,0.0
2011-11-22,0.0
2011-11-23,5.3
2011-11-24,44.5
2011-11-25,3.0
2011-11-26,0.8
2011-11-27,14.0
2011-11-28,17.6
2011-11-29,0.8
2011-11-30,2.3
2011-12-01,0.3
2011-12-02,17.2
2011-12-03,16.6
2011-12-04,0.5
2011-12-05,4.3
2011-12-06,1.4
2011-12-07,9.1
2011-12-08,19.3
2011-12-09,0.0
2011-12-10,15.2
2011-12-11,6.2
2011-12-12,0.2
2011-12-13,6.9
2011-12-14,0.0
2011-12-15,0.4
2011-12-16,16.1
2011-12-17,1.9
2011-12-18,8.4
2011-12-19,4.6
2011-12-20,15.4
2011-12-21,0.0
2011-12-22,0.0
2011-12-23,0.0
2011-12-24,0.0
2011-12-25,0.0
2011-12-26,0.0
2011-12-27,0.0
2011-12-28,0.0
2011-12-29,38.6
2011-12-30,6.2
2011-12-31,8.1
2012-01-01,32.3
2012-01-02,24.9
2012-01-03,26.2
2012-01-04,37.8
2012-01-05,7.7
2012-01-06,7.2
2012-01-07,0.0
2012-01-08,6.8
2012-01-09,5.6
2012-01-10,0.4
2012-01-11,3.5
2012-01-12,3.1
2012-01-13,0.0
2012-01-14,0.0
2012-01-15,0.0
2012-01-16,0.0
2012-01-17,0.0
2012-01-18,0.0
2012-01-19,0.0
2012-01-20,0.0
2012-01-21,0.0
2012-01-22,0.0
2012-01-23,0.0
2012-01-24,0.0
2012-01-25,0.6
2012-01-26,0.0
2012-01-27,0.0
2012-01-28,0.0
2012-01-29,0.2
2012-01-30,14.7
2012-01-31,0.0
2012-02-01,0.0
2012-02-02,0.0
2012-02-03,0.0
2012-02-04,0.0
2012-02-05,0.0
2012-02-06,0.0
2012-02-07,0.0
2012-02-08,0.0
2012-02-09,0.0
2012-02-10,0.0
2012-02-11,0.0
2012-02-12,0.0
2012-02-13,10.8
2012-02-14,1.2
2012-02-15,1.5
2012-02-16,1.8
2012-02-17,2.1
2012-02-18,0.0
2012-02-19,0.0
2012-02-20,0.0
2012-02-21,0.0
2012-02-22,0.0
2012-02-23,0.0
2012-02-24,0.0
2012-02-25,0.0
2012-02-26,0.0
2012-02-27,0.0
2012-02-28,0.0
2012-02-29,0.0
2012-03-01,0.0
2012-03-02,0.0
2012-03-03,0.0
2012-03-04,0.0
2012-03-05,0.0
2012-03-06,2.1
2012-03-07,0.0
2012-03-08,0.4
2012-03-09,6.2
2012-03-10,0.0
2012-03-11,0.0
2012-03-12,0.0
2012-03-13,0.3
2012-03-14,0.0
2012-03-15,0.0
2012-03-16,0.0
2012-03-17,17.2
2012-03-18,14.6
2012-03-19,3.6
2012-03-20,9.8
2012-03-21,0.0
2012-03-22,0.0
2012-03-23,0.0
2012-03-24,0.8
2012-03-25,9.3
2012-03-26,1.4
2012-03-27,0.0
2012-03-28,0.0
2012-03-29,14.3
2012-03-30,3.2
2012-03-31,0.0
2012-04-01,10.5
2012-04-02,2.9
2012-04-03,0.0
2012-04-04,0.0
2012-04-05,0.0
2012-04-06,0.0
2012-04-07,15.1
2012-04-08,0.0
2012-04-09,0.0
2012-04-10,0.0
2012-04-11,0.3
2012-04-12,0.0
2012-04-13,0.0
2012-04-14,0.0
2012-04-15,0.0
2012-04-16,2.3
2012-04-17,3.4
2012-04-18,0.0
2012-04-19,0.0
2012-04-20,0.0
2012-04-21,0.0
2012-04-22,0.0
2012-04-23,10.8
2012-04-24,3.6
2012-04-25,0.0
2012-04-26,0.0
2012-04-27,0.0
2012-04-28,2.6
2012-04-29,0.0
2012-04-30,0.0
2012-05-01,5.4
2012-05-02,8.6
2012-05-03,0.2
2012-05-04,0.4
2012-05-05,0.2
2012-05-06,0.0
2012-05-07,0.0
2012-05-08,0.0
2012-05-09,10.3
2012-05-10,0.0
2012-05-11,0.0
2012-05-12,0.0
2012-05-13,0.0
2012-05-14,24.8
2012-05-15,29.3
2012-05-16,9.8
2012-05-17,1.8
2012-05-18,0.9
2012-05-19,2.2
2012-05-20,3.3
2012-05-21,0.0
2012-05-22,0.0
2012-05-23,0.0
2012-05-24,0.0
